Назва,Адреса,46.4825,30.7233,Пн-пт,08:00–17:00,ЄДРПОУ/Ідент №,Телефони,Unnamed: 8,Unnamed: 9,100 000 ,"Сілосний, напольний",Unnamed: 12,Unnamed: 13,40 км/год,"Заднє, Бокове, гравітаційне, Шнекове, Пневматичне, Ручне",4 м,12 м,40 т,"Самоскид, зерновоз, тентовий",30 км/год,"Верхнє, бокове, Пневматичне, Шнекове, ",3.8 м,11 м,38 т,"Самоскид, зерновоз, тентовий.1",487654,25 км/год,Механічне,60 т,фронт 150 м,"піввагони, зерновози, контейнера",25 км/год.1,Механічне.1,60 т.1,фронт 150 м.1,Хопер,5 км/год,Трубопровід,річкові баржі,5 м,12 м.1,6 м,80 м,4 км/год,Крани,морські судна,7 м,15 м,7 м.1,120 м,Широта,Довгота
"ЕРА ГРЕЙН, ТОВ","23007, Вінницька обл., Барський, селище Бар, Вокзальна буд.26",,,,,35441410.0,(067)246-87-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0378032,27.721037
"Зерногрупа ЛТД, ТОВ (м. Погребище)","22200, Вінницька обл., Погребищенський, м. Погребище, Привокзальна буд.47",,,,,37854674.0,,(04346)2-26-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4959911,29.2965782
"Зерногрупа ЛТД, ТОВ (с. Адамівка)","22262, Вінницька обл., Погребищенський, с. Адамівка, Перемоги буд.15-А",,,,,37854674.0,,(04346)2-26-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4372328,29.2903064
"Зернокомплекс Сиваш, ТОВ","22100, Вінницька обл., Козятин, вул. Довженка буд.12",,,,,33918697.0,,(04342)2-03-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7228705,28.8144251
"Каролінський елеватор, ТОВ","22850, Вінницька обл., Немирівський, с. Кароліна, вул.Привокзальна буд.7",,,,,33437815.0,(050)4610889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2295412,28.5023963
"КОМКЗ, ПрАТ","22445, Вінницька обл., Калинівський, с. Корделівка, вул. Київська буд.1-А",,,,,00721780.0,,(04333)3-33-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2607749,28.4729985
"Концерн Сімекс-Агро, ТОВ","22525, Вінницька обл., Липовецький, с. Зозів, вул. Чкалова буд.29-Е",,,,,32513287.0,,(04358)2-13-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2251125,29.0563279
"Корнер, ПП","23310, Вінницька обл., Тиврівський, м. Гнівань, вул. Промислова буд.1/1",,,,,31909570.0,,(04335)5-11-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2594699,28.5470808
"Кусто-Агро ЕК, ТОВ (м. Жмеринка)","23100, Вінницька обл., Жмеринка, вул. Барляєва буд.28а",,,,,37084484.0,,(0432)50-83-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.033597,28.0652811
"Кусто-Агро ЕК, ТОВ (м. Козятин)","22100, Вінницька обл., Козятин, вул. Довженка буд.28",,,,,37084484.0,,(0432)50-83-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.70861499999999,28.828515
"Кусто-Агро ЕК, ТОВ (с-ще. Липовець)","22500, Вінницька обл., Липовецький, с-ще Липовець, вул. Привокзальна буд.53",,,,,37084484.0,,(0432)50-83-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2262692,28.5029752
"Могилів-Подільський консервний завод, ПрАТ","24000, Вінницька обл., м. Могилів-Подільський, вул. Дністровська буд.60",,,,,00373965.0,,(04337)6-06-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4231117,27.8279541
"Немирівський ККЗ, ТОВ","22850, Вінницька обл., Немирівський, с. Кароліна, вул. Набережна буд.51",,,,,00686546.0,,(04331)3-72-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9279041,28.9617211
"ПК Поділля, ПРАТ","24615, Вінницька обл., Крижопільський, с. Городківка, вул. Благовіщенська, буд.105",,,,,33143011.0,,(04340)2-18-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.378116,28.6967663
"Попелюхське ХПП, ПрАТ","24733, Вінницька обл., Піщанський, с-ще. Попелюхи, пл. Гагаріна буд.1",,,,,00953253.0,,(04349)2-53-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.21650409999999,28.971929
"ПрАТ ""Зернопродукт МХП"" (с. Соколівка)","24633, Вінницька обл., Крижопільський р-н., с. Соколівка, вул. Службова, 1-Б",,,,,32547211.0,,(0432)50-75-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4424113,28.9948786
"ПрАТ ""Зернопродукт МХП"" (смт. Шпиків)","23614, Вінницька обл., Тульчинський р-н., смт. Шпиків, вул. Леніна, 169",,,,,32547211.0,,(0432)50-75-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7867841,28.561648
"Рамбурс, ПРАТ","22544, Вінницька обл., Липовецький, селище Липовець, вул. Привокзальна буд. 62",,,,,22936378.0,(050)461-38-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.22545179999999,28.5030717
"Сантрейд, ДП З ІІ (Демківка)","24343, Вінницька обл., Тростянецький, с. Демківське, вул. Привокзальна буд.2",,,,,25394566.0,,(044)490-27-30; (04343)2-21-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5711835,29.0865111
"Сантрейд, ДП З ІІ (Тростянець)","24300, Вінницька обл., Тростянецький, смт Тростянець, вул. 1-го Травня буд.26",,,,,25394566.0,,(044)490-27-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5084419,29.2195063
"Ситковецьке, ТОВ","22865, Вінницька обл., Немирівський, смт. Ситківці, Вокзальна буд.6",,,,,33845116.0,,(044)432-77-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9060378,29.2081047
"Сорочанський мірошник, ТОВ","22731, Вінницька обл., Іллінецький, с. Сорока, вул. Гагаріна буд. 3а",,,,,34709632.0,,(04345)2-95-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.098202,29.2238489
"СТОВ ""АГРОКРЯЖ""","24032, Вінницька обл., Могилів-Подільський р-н., смт. Вендичани, вул. 50-річчя Жовтня, 21-М",,,,,36187994.0,,(0432)50-75-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.601252,27.787689
Теплицький МКХП,"23800, Вінницька обл., Теплицький, смт. Теплик, І. Франка буд.79",,,,,00686486.0,,(04353)2-16-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6633108,29.75078139999999
"ТОВ ""Агро Інвест Україна"" (філія ""Тиврівська"")","23310, Вінницька обл., Тиврівський р-н., м. Гнівань, вул. Привокзальна, 12",,,,,34478187.0,(067)463-42-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1015497,28.3302312
"ТОВ ""Агроград В""","21034, Вінницька обл., Вінниця, вул. Лебединського буд.11",,,,,33126923.0,,(0432)27-56-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.231742,28.5089994
"ТОВ ""АМБАР+""","22800, Вінницька обл., Немирівський, м. Немирів, вул. Соборна, буд.244",,,,,31680270.0,,(0432)55-10-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9726621,28.835666
"ТОВ ""ВЕРШИНА ЛТД""","23021, Вінницька обл., Барський р-н, с. Ялтушків, вул. залізнична, буд. 4",,,,,21178067.0,(067)539-73-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0012345,27.5030131
"ТОВ ""ДЖУЛИНКА ГРЕЙН""","24450, Вінницька обл., Бершадський р-н, с. Джулинка, вул. Промислова, 3, вул. Центральна, 160",,,,,40845848.0,(067)448-14-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4509323,29.7383018
"ТОВ ""Жмеринський елеватор""","23100, Вінницька облать, м. Жмеринка, вул. Чернишевського, будинок 42",,,,,38328468.0,(067)432-40-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0224307,28.1229457
"ТОВ ""Зернокомплекс ""Сиваш"" (смт. Вендичани)","24032, Вінницька обл., Могилів-Подільський р-н., смт. Вендичани, вул. Вінницька, буд. 23",,,,,33918697.0,(067)381-59-91, (04337)3-22-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6184003,27.8023025
"ТОВ ""Зернолія"" (Жмеринка)","23100, Вінницька обл., м. Жмеринка, вул. Барляєва, буд. 2",,,,,00688798.0,,(04332)2-26-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0342528,28.0831344
"ТОВ ""Злата-Трейд"" (м. Хмільник)","Вінницька обл., м. Хмільник, вул. Привокзальна, 31",,,,,35623200.0,(067)519-06-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5600779,27.9769285
"ТОВ ""Крижопільський елеватор""","24600, Вінницька обл., Крижопільський, смт. Крижопіль, вул. Олександра Савченка, буд.6",,,,,32859526.0,,(04340)2-16-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3849493,28.8673367
"ТОВ ""КУБЛИЧ ГРЕЙН""","23814, Вінницька обл., Теплицький р-н, с-ще Кублич, вул. Залізничка, 12",,,,,40856467.0,(067)408-02-09,(04353)2-43-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6770448,29.6391073
"ТОВ ""Рівненський елеватор""","24405, Вінницька обл., Бершадський р-н, с. Флорине, вул. Залізнична, буд.1",,,,,33326670.0,,(04352)2-42-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3454922,29.5293239
"ТОВ ""СХК"" Вінницька промислова група""","Вінницька обл., Вінницький р-н., смт. Стрижавка, вул. Тарногородського, 54",,,,,33623350.0,,(04331)2-09-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2708391,28.5145019
"ТОВ ""УкрЕлКо"" (м. Гайсин)","23700, Гайсинський район, м. Гайсин, вул. Станційна, 2",,,,,39184446.0,(067)405-95-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7975567,29.3860269
"ТОВ ""УкрЕлКо"" (с. Рахни)","23536, Вінницька обл., Шаргородський р-н., с. Рахни Лісові, вул. Миру, 40",,,,,39184446.0,,(04635)4-52-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7838875,28.4811427
"ТОВ ""УкрЕлКо"" (ст. Губник)","23746, Вінницька обл., Гайсинський район, ст. Губник, вул. Привокзальна, 20",,,,,39184446.0,(067)405-95-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6204595,29.3277246
"ТОВ ""УкрЕлКО"" (ст. Зятківці)","23751,Вінницька обл., Гайсинський район, ст. Зятківці, вул. Залізнична, 1-А",,,,,39184446.0,(067)405-95-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7272697,29.4553936
"ТОВ ""ХЛІБОРОБ-ГОЛЕНДРИ""","22442, Вінницька область, Калинівський р-н., с. Голендри, вул. Привокзальна, буд. 42",,,,,39580475.0, (067)548-62-00,(04333)3-51-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.565771,28.7194935
ТОВ Котюжани зерно,"23441, Вінницька обл., Мурованокуриловецький, с.Обухів, вул.Залізнична буд.12",,,,,32090645.0,,(04356)3-63-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8008275,27.7587649
"Фарвуд, ТОВ","22633, Вінницька обл., Оратівський, с. Оратів, вул. Миру буд.38",,,,,32652574.0,(067)230-24-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.206823,29.4086404
"філія ""Хмільник"" ТОВ ""НІБУЛОН""","22065, Вінницька обл., Хмільницький, с. Широка Гребля, вул. Центральна буд.82А",,,,,14291113.0,,(04338)3-27-43; (0512)37-23-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.525865,28.015495
"Хмільницьке, ТОВ","22000, Вінницька обл., Хмільник, вул. Привокзальна буд.53",,,,,00692245.0,,(04338)3-95-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5600779,27.9769285
"Хмільницький елеватор, ПАТ","22000, Вінницька обл., Хмільник, вул. В. Порика буд.26",,,,,00953295.0,,(04338)2-20-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5546713,27.9559594
"Агротехніка, ТОВ (смт. Локачі)","45300, Волинська обл., Локачинський, смт. Локачі, вул. Шевченка буд.14",,,,,21750952.0,,(0332)78-82-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7402117,24.6486753
"Волинь-зерно-продукт, ТзОВ (смт Сенкевичівка)","45750, Волинська обл., Горохівський, смт Сенкевичівка, вул. Привокзальна буд.90",,,,,31496816.0,,(0332)28-68-02; (0332)26-91-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5261886,25.0394203
"Волинь-зерно-продукт, ТОВ (м. Луцьк)","43022, Волинська обл., Луцьк, вул. Мамсурова буд.10",,,,,31496816.0,,(0332)28-68-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.70164279999999,25.315975
"Волинь-зерно-продукт, ТОВ (м. Рожище)","45100, Волинська обл., Рожищенський, м. Рожище, вул. Привокзальна буд.3",,,,,31496816.0,,(0332)28-68-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.90891389999999,25.2623168
"Волинь-зерно-продукт, ТОВ (с. Дерно)","45260, Волинська обл., Ківерцівський, с. Дерно, вул. Незалежності, буд.44-А",,,,,31496816.0,,(0332)28-68-02; (0332)26-91-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8360382,25.4536359
"Волинь-зерно-продукт, ТОВ (с. Звиняче)","45725, Волинська обл., Горохівський, с. Звиняче, вул. Привокзальна буд.24, 26",,,,,31496816.0,,(0332)28-68-02; (0332)26-91-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4467621,24.8172755
