Назва,Адреса,46.4825,30.7233,Пн-пт,08:00–17:00,ЄДРПОУ/Ідент №,Телефони,Unnamed: 8,Unnamed: 9,100 000 ,"Сілосний, напольний",Unnamed: 12,Unnamed: 13,40 км/год,"Заднє, Бокове, гравітаційне, Шнекове, Пневматичне, Ручне",4 м,12 м,40 т,"Самоскид, зерновоз, тентовий",30 км/год,"Верхнє, бокове, Пневматичне, Шнекове, ",3.8 м,11 м,38 т,"Самоскид, зерновоз, тентовий.1",487654,25 км/год,Механічне,60 т,фронт 150 м,"піввагони, зерновози, контейнера",25 км/год.1,Механічне.1,60 т.1,фронт 150 м.1,Хопер,5 км/год,Трубопровід,річкові баржі,5 м,12 м.1,6 м,80 м,4 км/год,Крани,морські судна,7 м,15 м,7 м.1,120 м,Широта,Довгота
"""Токмак-Зернопродукт"", ТОВ","71706, Запорізька обл., Токмак, вул. Щави буд.88",,,,,34946678.0,,(06178)4-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2322333,35.7137033
"Аскон, ПП","72500, Запорізька обл., Якимівський, смт Якимівка, вул. Леніна буд.221",,,,,22120822.0,,(06131)9-18-10; (06131)9-11-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.689886,35.1450342
"Більманське ХПП, ПрАТ","71051,ст. Більманка Куйбишевський р-н., Запорізька обл.",,,,,25477938.0,,(06147)7-43-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2444382,36.64549
"Благовіщенський-Зернопродукт, ТОВ","71330, Запорізька обл., Кам'янсько-Дніпровський, с. Благовіщенка, вул. Шевченка буд.8",,,,,35110171.0,,(06138)9-65-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.46091149999999,34.82301229999999
"Василівка-Агро, ТОВ","71600, Запорізька обл., Василівський, м.Василівка, вул. 8 Березня буд.75",,,,,32017811.0,,(06175)4-36-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4414731,35.2867265
"Веселівський елеватор, ТДВ","72202, Запорізька обл., Веселівський, смт Веселе, вул. Чапаєва буд.1",,,,,00957749.0,,(06136)2-15-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9978941,34.9243865
"Вільнянський елеватор, ТОВ","70002, Запорізька обл., Вільнянський, м. Вільнянськ, Елеваторна буд.3",,,,,36474844.0,,(06143)4-61-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5607715,35.786657
"Гайчур-Агро, ПрАТ","70150, Запорізька обл., Новомиколаївський, смт. Тернувате, вул. Елеваторна буд.4",,,,,31880337.0,,(06144)9-45-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8301304,36.1267969
"ДП ""ДП Агросервіс 2000""","69089, Запорізька обл., Запоріжжя, вул. Зачиняєва буд.113",,,,,30757373.0,,(06122)6-51-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.88226710000001,34.9981289
"Заготзерно-Новогупалівка, ТОВ","70020, Запорізька обл., Вільнянський, с. Новогупалівка, вул. Хлібна буд.3",,,,,35834326.0,(050)456-44-40; (067)612-97-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0208606,35.4208341
"Командитне товариство ""Желєв С.С. і компанія ""Мелітопольського елеватора"" (с. Новобогданівка)","72330, Запорізька обл., Мелітопольський, с. Новобогданівка, вул. Шевченка буд.4/1",,,,,00951652.0,,(06192)5-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.08421149999999,35.317019
"КТ ""Желєв С.С. і компанія ""Комиш-Зорянського елеватора""","71030, Запорізька обл., Куйбишевський, смт Комиш-Зоря, вул. Поштова буд.70",,,,,00954225.0,,(06147)2-18-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3619128,36.6489765
"КТ ""Желєв С.С. і компанія ""Мелітопольського елеватора"" (м. Мелітополь)","72310, Запорізька обл., Мелітополь, вул. Гетьмана Сагайдачного, буд.53",,,,,00951652.0,,(06192)5-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8507651,35.373707
"Михайлівський райагропостач, АТ","72013, Запорізька обл., Михайлівський р-н, смт. пришиб,, вул. Кооперативна 1",,,,,00903957.0,(067)612-99-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2911153,35.2371299
"Нібулон СП, ТОВ","71304, Запорізька обл., Кам'янсько-Дніпровський, м. Кам'янка-Дніпровська, вул. Промислова буд.1",,,,,14291113.0,,(0512)37-23-44; (06138)2-16-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4999883,34.3959994
"НІБУЛОН, ТОВ СП (Біленьке)","70441, Запорізька обл., Запорізький р-н, с. Біленьке, вул. Шкільна, буд. 7",,,,,14291113.0,,(0512)37-23-44; (0512)38-04-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8273793,35.157787
"Пологівський КХП, ПрАТ","70600, Запорізька обл., Пологівський, м. Пологи, вул. Ломоносова буд.32",,,,,05480482.0,,(06165)2-39-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4729563,36.248522
"Полтавське ХПП, ПрАТ (Гуляйпільська дільниця)","70231, Запорізька обл., Гуляйпільський, смт. Залізничне, вул. Матросова буд.2",,,,,05581898.0,,(06145)3-37-20; (0532)53-41-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6479788,36.164764
"ТОВ ""Приморський Агротехсервіс"" (м. Приморськ)","72100, Запорізька обл., Приморський, м. Приморськ, Чапаєва буд.8а",,,,,32630896.0,,(06137)7-27-35; (06137)7-67-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.730117,36.347976
"ТОВ ""Приморський Агротехсервіс"" (с. Борисівка)","72151, Запорізька обл., Приморський, с. Борисівка, вул. Польова буд.2",,,,,32630896.0,,(06137)7-27-35; (06137)7-67-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7897227,36.4071966
"ТОВ ""АРТ-09""","Запорізька обл., Гуляйпільський р-н, смт. Залізничне, вул. Ватутіна, буд. 2Б",,,,,36711549.0,(099)096-80-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6479788,36.164764
"ТОВ ""Благовіщенський -Зернопродукт"" (Усачова, 3 )","71304, Запорізька область, Кам'янсько-Дніпровський р-н., м. Кам'янка-Дніпровська, вул. Каховська, 3",,,,,35110171.0,(067)652-81-90,(06138)2-38-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4870901,34.4167363
"ТОВ ""Запоріжмлин""","69089, м. Запоріжжя, вул. Зачиняєва, 113",,,,,39827883.0,(061)226-52-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.88226710000001,34.9981289
"ТОВ ""ОПТІМУСАГРО ТРЕЙД"" (Верхный Токмак Перший)","71206, Запорізька обл., Черныгывський р-н, с-ще Верхный Токмак Перший, вул. привокзальна, буд.8А",,,,,41161689.0,,(06140)9-75-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.207497,36.3075642
"ТОВ ""ОПТІМУСАГРО ТРЕЙД"" (Магедове)","70652, Запорізька обл., Пологівський р-н, с. Магедове, вул. Центральна, буд. 24",,,,,41161689.0,(050)481-17-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.43277579999999,36.5133044
"ТОВ ""ОПТІМУСАГРО ТРЕЙД"" (Оріхів)","70501, Запорізька обл., м. Оріхів, вул. Покровська, буд. 129",,,,,41161689.0,,(06141)4-33-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5683622,35.787822
"ТОВ ""ОПТІМУСАГРО ТРЕЙД"" (Розівка)","70300, Запорізька обл., Розівський район, смт. Розівка, вул. Вокзальна, 72",,,,,41161689.0,(050)609-01-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3749057,37.0627668
"ТОВ ""ОПТІМУСАГРО ТРЕЙД"" (Строганівка)","72432, Запорізька обл., Приазовський р-н, с. Строганівка, вул. Балановського, буд. 150",,,,,41161689.0,(050)320-94-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6761401,35.8630275
"ТОВ ""ОПТІМУСАГРО ТРЕЙД"" (Трояни)","71151, Запорізька обл., Бердянський р-н, с. Трояни, вул. Шкільна, 1",,,,,41161689.0,,(06153)9-53-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8782552,36.6060458
"ТОВ ""ОПТІМУСАГРО ТРЕЙД"" (Якимівка)","72501, Запорізька обл., Якимівський р-н, смт. Якимівка, вул. Курортна, 1",,,,,41161689.0,,(06131)9-16-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6801693,35.1687004
"ТОВ ""ПРОМЕТЕЙ ТРАНС""","71700, Запорізька обл., м. Токмак, вул. Щави, 84",,,,,40764434.0,,(06178)2-24-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2322333,35.7137033
"ТОВ ""Сонячне насіння плюс"" (Єлизаветівка)","72130, Запорізька обл., Приморський р-н, с-ще. Єлизаветівка, вул. Привокзальна, б.1",,,,,00688321.0,,(06137)7-18-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9630388,36.420921
"ТОВ ""Сонячне насіння плюс"" (Залізничне)","70231, Запорізька обл., Гуляйпільський р-н, смт. Залізничне, вул. Матросова, 44",,,,,00688321.0,(067) 6325491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6479788,36.164764
"ТОВ ""Сонячне насіння плюс"" (Нельгівка)","72114, Запорізька обл., Приморський р-н, с-ще. Нельгівка, вул. Елеваторна, б.1",,,,,00688321.0,,(06137)2-22-38; (06137)7-69-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0531379,36.2476354
"ТОВ ""Сонячне насіння плюс"" (Пологи)","70600, Запорізька обл., Пологівський р-н, м. Пологи, вул. Чкалова, буд. 38",,,,,00688321.0,,(06165)2-32-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.483616,36.2170269
"ТОВ ""УКРЕЛКО""","72013, Запорізька область, Михайлівський район, смт. Пришиб, вул. Елеваторна, 1",,,,,39184446.0,(095)280-28-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2484475,35.3234951
"Фісаковський елеватор, ТОВ","70530, Запорізька обл., Оріхівський, смт Комишуваха, вул. Залізнична буд.10",,,,,34513027.0,; (050)459-22-44,(06141)6-01-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8058306,35.4703513
"Вільхівці, ППА","78100, Івано-Франківська обл., Городенківський, м. Городенкa, вул. Винниченка буд.105",,,,,22169900.0,,(03430)4-72-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6779569,25.4863427
"Захід-Агро МХП, ТОВ","77033, Івано-Франківська обл., Рогатинський, с. Воскресинці, вул. Шевченка буд.16-А",,,,,37042858.0,,(03435)2-48-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.358914,24.4238755
"Івано-Франківський КХП, ДП","76495, Івано-Франківська обл., Івано-Франківськ, с. Микитинці, вул. Юності буд.2-в",,,,,05513715.0,,(0342)78-74-63; (0342)78-74-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9100606,24.7630494
"ПАТ ""ДПЗКУ"" (філія Галицький КХП)","77100, Івано-Франківська обл., Галицький, м. Галич, Лесі Українки буд.110",,,,,37243279.0,,(044)206-15-09; (03441)2-14-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1403373,24.7286797
"ТОВ ""Сапоніт-Інвест""","78100,Івано-Франківська обл.,Городенківський р-н.,м. Городенка, вул. Винниченка Володимира, буд.92В",,,,,34944534.0,(067)413-41-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6777822,25.486786
"ТОВ ""Спецагропроект""","77000, Івано-Франківська обл., Рогатинський р-н., м. Рогатин, вул. Галицька, 18ж",,,,,35097580.0,(067)503-30-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4001496,24.6118821
ТОВ Калуський КХП,"77300, вул. С. Бандери, 102 а, м. Калуш, Івано-Франківська",,,,,31967407.0,,(03472)6-30-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0219123,24.3980685
"""Київ-Атлантик Україна""","08800, Київська обл., Миронівський, м. Миронівка, вул. Степова буд.8",,,,,22929481.0,,(04754)5-19-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6438419,31.0062693
"Агро Логістика Україна, ТОВ","07700, Київська обл., Яготинський р-н, м. Яготин, вул. Поштова буд.56А",,,,,34233603.0, (067)463-42-01,(04575)5-28-18;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2380785,31.8054466
"Агротрейд-2000, ТОВ","09133, Київська обл., Білоцерківський, автодорога М-05 Київ-Одеса 82 км. + 500 м. (праворуч)",,,,,36445855.0,(067)9600534,(04563)3-33-46;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7126791,30.1964182
"Баришівказернопродукт, ТОВ","07500, Київська обл., Баришівський, смт Баришівка, вул. Комсомольська буд.135-в",,,,,32445705.0,,(04576)4-15-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3484685,31.3226346
"Березанський переробний завод, ТОВ","07541, Київська обл., Березань, вул. Маяковського буд.12",,,,,34068920.0,,(04576)6-59-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3269338,31.5125415
"БЗК, ТОВ (Баришівське ХПП)","07500, Київська обл., Баришівський, смт. Баришівка, вул. Торфяна буд.11",,,,,32886518.0,,(04576)5-14-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3451342,31.3131113
"БЗК, ТОВ (Березанське ХПП)","07500, Київська обл., Баришівський, м. Березань, вул. Привокзальна буд.11",,,,,32886518.0,,(04576)6-15-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.327186,31.50185609999999
"БЗК, ТОВ (відділок ""Агросвіт"")","07700, Київська обл., Яготинський, м. Яготин, вул. Ярослава Мудрого, буд.35",,,,,32886518.0,,(04575)2-14-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2966868,31.7824959
"Білоцерківхлібопродукт, ТОВ","09100, Київська обл., Біла Церква, вул.Офіцерська буд.6",,,,,20608169.0,,(04563)6-32-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.81794739999999,30.0894053
"Бородянське ХПП, ТОВ","07805, Київська обл., Бородянський, смт. Бородянка, вул. Привокзальна буд. 42/5, 42/2, 42/3",,,,,30535885.0,,(04577)5-68-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6288156,29.888126
"Велес Трейдинг груп, ТОВ","08550, Київська обл., Фастівський, смт Кожанка, вул. Поштова буд.1",,,,,33551847.0,,(044)206-20-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0742096,29.93433
"Комплекс Агромарс, ТОВ","09200, Київська обл., Кагарлицький, м.Кагарлик, вул. Фрунзе буд.95",,,,,30160757.0,,(044)593-67-67-37;(04573)6-08-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8630779,30.8099625
"Медвинське ХПП, ТОВ","09751, Київська обл., Богуславський, с. Медвин, вул. Леніна буд.125",,,,,33927172.0,,(04561)3-65-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4506203,30.7266408
"Миронівське ХПП, ПрАТ","08800, Київська обл., Миронівський, м. Миронівка, вул. Паризької Комуни буд.6",,,,,24219855.0,,(04574)5-27-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6466565,30.9908333
"Миронівський ЗВКК, ПАТ","08800, Київська обл., Миронівський, м. Миронівка, вул. Елеваторна буд.1",,,,,00951770.0,,(04574)4-20-42; (04574)4-20-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6434589,30.9790336
"Нібулон СП, ТОВ (філія ""Денихівка"")","09832, Київська обл., Тетіївський, с. Денихівка, вул. Кагатна буд.3",,,,,14291113.0,,(0512)37-23-44; (044)389-30-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3102501,29.8009903
"НІБУЛОН СП, ТОВ (філія ""Переяславська"")","08412, Київська обл., Переяслав-Хмельницький, с. Чирське, вул. Набережна буд.1",,,,,14291113.0,,(0512)37-23-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.11078010000001,31.4926993
"ПАТ ""УІФК-Агро""","07544, Київська обл., Баришівський район, с. Коржі, вул. промислова 40/4",,,,,34821667.0,(067)328-94-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.33506,31.3568474
"Переяславський ЕКХП, ПрАТ","08420, Київська обл., Переяслав-Хмельницький, с.Переяславське, вул. Привокзальна буд.2",,,,,00951787.0,,(04567)2-81-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2637789,31.6551978
"ПП ""БГФ-АГРО""","08500, м. Фастів, Кожанське шосе, 1",,,,,30525636.0,,(04565)6-76-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0899973,29.8965275
"ПрАТ ""Березанський комбікормовий завод""","07541, Київська обл., Березань, вул. Маяковського буд.12",,,,,04529944.0,,(04576)6=59-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3269338,31.5125415
"ПрАТ ""Тетіївське ХПП""","09800, Київська обл., Тетіївський, м. Тетіїв, Київська буд.27",,,,,00954478.0,(050)411-98-57,(04560)5-18-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3663943,29.6583812
ПрАТ Богуславське ХПП,"09700, Київська обл., Богуславський, м. Богуслав, вул. Шевченка буд.142",,,,,00954521.0,,(04561)5-14-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.556222,30.8777704
"Сквирський КХП, ТОВ","09000, Київська обл., Сквирський, м. Сквира, вул. Київська буд.25",,,,,00954544.0,,(04568)5-24-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7422279,29.6730514
"Слобода КО, ТОВ","08042, Київська обл., Макарівський, с. Червона Слобода, вул. Заводська буд.1",,,,,30641031.0,,(04578)9-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3921182,29.684667
"Таганча, ПрАТ","09724, Київська обл., Богуславський, с.Іванівка, Залізнична буд.1",,,,,33062540.0,,(04561)3-43-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5550446,31.1035828
"ТДВ ""Узинський цукровий комбінат""","09200, м. Кагарлик, Київської обл., вул. Ставянка, 92, 92-Б",,,,,00372536.0,,(04573)6-11-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8630387,30.806694
"ТОВ ""БІЛИЙ ЦВІТ""","08304, Київська обл, м. Бориспіль, вул. Завокзальна, буд. 1",,,,,37813456.0,,(04595)7-19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3781137,30.9522756
"ТОВ ""Васильківхлібопродукт""","08600, Київська обл., м. Васильків, вул. Володимирська, 22",,,,,40036472.0, (097)797-02-07,(04571)2-46-18; (04571)2-46-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1739397,30.3205062
"ТОВ ""Елеватор ""Успіх Рокитне"" (вул. Незалежності)","09600, Київська область, Рокитнянський р-н., смт. Рокитне, вул. Незалежності, 120",,,,,38486411.0,(068)292-60-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.694616,30.4831337
"ТОВ ""Елеватор ""Успіх Рокитне"" (смт. Рокитне)","09600, Київська область, Рокитнянський р-н., смт. Рокитне, вул. Телешівська, 24",,,,,38486411.0,(068)292-60-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.694616,30.4831337
"ТОВ ""ЗЛАТІБОР"" (Рокитне)","09600, Київська обл., Рокитнянський р-н., смт. Рокитне, вул. Поповича, 41-А",,,,,40159727.0,(067)408-37-19,(04562)5-17-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6929552,30.4565018
"ТОВ ""ЗЛАТІБОР"" (Синява)","09634, Київська обл., Рокитнянський р-н, с. Синява, вул. Жовтнева, 91-А",,,,,40159727.0,(067)408-37-19,(04562)5-17-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6530191,30.4429436
"ТОВ ""ОЛАМ БІЛОЦЕРКІВСЬКИЙ ЕЛЕВАТОР""","09107, Київська область, м. Біла Церква, вул. Привокзальна, буд. №8",,,,,39904962.0,,(04563)5-13-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8070884,30.118517
"ТОВ ""Ольшаницький елеватор""","09635, Київська обл., Рокитнянський, с. Ольшаниця, Привокзальна буд.3",,,,,38435063.0,(067)6561626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6583102,30.624684
"ТОВ ""ПРОМЕТЕЙ РАД"" (Гребінки)","08662, Київська обл., Васильківський р-н., смт. Гребінки, вул. Індустріальна, 3",,,,,40416516.0,(050)493-57-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9450092,30.1778995
"ТОВ ""Рокитнянське ХПП""","09600, Україна, Київська обл., смт. Рокитне, вул. Вокзальна, 222",,,,,40105417.0,,(04562)5-12-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.69654629999999,30.5043137
"ТОВ ""Сухоліський елеватор""","09173, Київська обл., Білоцерківський р-н., с. Сухоліси, вул. Привокзальна, 8А",,,,,40315877.0,(067)434-40-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7385062,30.3584225
"ТОВ ""ТД""Зернотрейд""","Київська область, м. Кагарлик, вул. Святотроїцька, 22",,,,,33059281.0,(095)430-67-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8621843,30.8207242
"Яготинське ХПП, ТДВ","07700, Київська обл., Яготинський, м. Яготин, вул. Привокзальна буд.21",,,,,00954509.0,,(04575)5-16-01; (04575)5-14-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2447911,31.7788063
"АВПП ""Украгротехнологія""","28023, Кіровоградська обл., м. Олександрія, смт. Пантаївка, вул. Урожайна, 1",,,,,13763834.0,(050)320-08-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6727921,32.887337
"Агродар ЛТД, ТОВ","28000, Кіровоградська обл., Олександрія, вул. Садова буд.1",,,,,31790783.0,,(05235)7-17-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6721323,33.1296619
"Агромаркет, ТК ТОВ","27030, Кіровоградська обл., Добровеличківський, м. Помічна, вул. Гагаріна буд.56а",,,,,38095303.0,,(0522)37-86-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2345067,31.394714
АДМ Знаменський елеватор ТОВ,"27405, Кіровоградська обл., Знам'янка, Осадчого буд.95",,,,,33603800.0,,(05233)2-22-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7192002,32.6770961
"АТ Каргілл, ТОВ (філія Користівське ХПП)","28034, Кіровоградська обл., Олександрійський, смт. Приютівка, вул. Залізнична буд.5, Зернова 1",,,,,20010397.0,,(04423)0-14-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7203863,33.0679837
"АТ Каргілл, ТОВ (філія Куцівський елеватор)","28227, Кіровоградська обл., Новгородківський, с. Куцівка, вул. Привокзальна буд.5",,,,,20010397.0,,(05241)2-00-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3130006,32.7891147
"АФ Славутич, ПП","27200, Кіровоградська обл., Бобринецький, м. Бобринець, вул.Промислова буд.1а",,,,,20639566.0,,(05257)3-61-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0605199,32.145131
"Верес, ТОВ","28110, Кіровоградська обл., Онуфріївський, смт Павлиш, вул. Вокзальна буд.74 б",,,,,30108718.0,,(044)468-59-90; (05238)2-29-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.91819049999999,33.3541538
"Голованівське ХПП, ТОВ","26508, Кіровоградська обл., Голованівський, ст. Голованівськ, вул. Петровського буд.32",,,,,03342830.0, (097)672-47-73,(05252)3-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3579612,30.3960147
"Державна продовольчо-зернова корпорація України"", ПАТ(філія Кіровоградський КХП)","25005, Кіровоградська обл., м. Кропивницький, вул. Варшавська буд. 91А",,,,,37243279.0,,(044)209-15-09; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5388142,32.2508011
"Державна продовольчо-зернова корпорація України, ПАТ(філія Новоукраїнський КХП)","27100, Кіровоградська обл., Новоукраїнський, м. Новоукраїнка, вул. Чайковського буд.28",,,,,37243279.0,,(044)206-15-09; (05251)2-20-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3226457,31.5187617
"Долинський Комбікормовий Завод, ТОВ","28500, Кіровоградська обл., Долинський, м.Долинська, вул. Чумацький шлях, буд.1,1-А",,,,,34201037.0,,(05234)3-13-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1194973,32.7566412
ДП Кіровоградський КХП №2,"25014, Кіровоградська обл., м. Кропивницький, проспект Інженерів буд.2",,,,,00951862.0,,(0522)35-77-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5156149,32.2047771
